Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
establishment of viral latency (GO:0019043),PPIA/XRCC5/XRCC6/XRCC4/PSIP1/BANF1/LIG4/IRF7/HMGA1,PPIA,NA,1,1/374,0.0212031977277593,1
positive regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle (GO:0031659),PKD1/RGCC/ADAM17/AKT1/FGF10/PKD2/EGFR,AKT1,NA,1,1/374,0.0127977214204242,1
"negative regulation of retrograde protein transport, ER to cytosol (GO:1904153)",OS9/ERLEC1/DERL2/DERL3/UBE2G2/UBE2J1/SVIP/UBAC2,OS9/ERLEC1,NA,2,2/374,0.000866646803044136,1
mitochondrial respiratory chain complex I biogenesis (GO:0097031),ACAD9/COA1/NDUFC2/NDUFC1/TIMM21/ECSIT/NDUFS8/NDUFS7/NDUFS6/NDUFS5/TMEM126B/NDUFS4/NDUFS3/NDUFS2/NDUFS1/NDUFB9/MT-ND5/NDUFB8/MT-ND6/NDUFB7/NDUFB11/DMAC2/NDUFB6/NDUFB5/NDUFB10/NDUFB4/DMAC1/NDUFB3/NDUFB2/NDUFB1/MT-ND3/TAZ/MT-ND4/MT-ND1/MT-ND2/NDUFV3/NDUFV2/NDUFV1/NDUFA9/NDUFA8/TIMMDC1/NDUFA7/NUBPL/NDUFA6/NDUFA5/NDUFA3/NDUFA2/NDUFA1/BCS1L/OXA1L/NDUFAF7/NDUFAF8/NDUFAB1/NDUFAF5/NDUFAF6/NDUFAF3/NDUFAF4/NDUFAF1/NDUFAF2/NDUFA12/NDUFA13/NDUFA10/NDUFA11/FOXRED1,ACAD9/ECSIT/NDUFB9/BCS1L/NDUFAF1/NDUFAF2,NA,6,6/374,0.00126293617033595,1
peptidyl-lysine hydroxylation (GO:0017185),PLOD1/VPS33B/P3H3/PLOD3/PLOD2/VIPAS39/P3H4/JMJD6,PLOD2,NA,1,1/374,0.0167747462928842,1
nucleus localization (GO:0051647),SUN2/DCTN4/PAFAH1B1/KIF25/SLC9A3R1/SYNE2,SUN2/SLC9A3R1,NA,2,2/374,0.000321699005697722,1
nucleus organization (GO:0006997),SUN3/TOR1A/TMEM170A/SUN2/SUN1/DMPK/PRM2/SPAG4/NDC1/WDR73/NUP133/NUP155/LEMD3/LEMD2/SUN5/NUP93/CTDNEP1/NUP98/NUP54/REEP4/BIN1/REEP3/NUP35/CHMP2B/CHMP4C/CHMP2A/CHMP4B/CHMP4A/CHMP7/CHMP5/CHMP6/ANKLE1/USP36/NUP205/SEH1L/VPS4A/VPS4B/PITPNB/NUMA1/SYNE1/TPR/RPS19/ATXN7/CHMP1B/CHMP1A,TOR1A/SUN2/NUP98/NUP54/CHMP2A,NA,5,5/374,0.000986700565446509,1
regulation of pH (GO:0006885),SLC9A7/ATP6AP1/ATP1A4/ATP6V0A4/PDK4/CLCN3/SLC26A4/SLC9A1/ATP6V1B1/PDK2,ATP6AP1,NA,1,1/374,0.026057258962688,1
"RNA splicing, via transesterification reactions (GO:0000375)",SF3A3/SCAF11/LSM1/SRRM1/PRPF6/PRPF8/SNRNP40/WDR83/PRPF4/PRPF3/SRSF4/SLU7/SF3B3/DBR1/SF3B4/GEMIN2/DDX23/MPHOSPH10/KHSRP/TRA2B/SF3B1/SRSF10/TXNL4A/SMNDC1/BCAS2,SLU7/MPHOSPH10,NA,2,2/374,0.0257433234660879,1
positive regulation of potassium ion transmembrane transporter activity (GO:1901018),LRRC26/LRRC38/ACTN2/AKAP9/LRRC52/ATP1B3/LRRC55/ATP1B2/ATP1B1/ANK2/GAL/GALR2,AKAP9/ATP1B1,NA,2,2/374,0.00315265152326192,1
formation of translation preinitiation complex (GO:0001731),EIF4B/MCTS1/DENR/EIF4H/EIF2S3/TICRR/EIF2D,EIF4H,NA,1,1/374,0.0127977214204242,1
regulation of phosphorylation of RNA polymerase II C-terminal domain (GO:1901407),BRD4/CCNK/CCNT2/CCNT1/CCNH/FAM58BP/CCNC/CCNL2/PPIL4/CCNL1/CCNQ,BRD4,NA,1,1/374,0.0313121388414287,1
regulation of positive chemotaxis (GO:0050926),F7/NTRK3/ANGPT2/CDH13/F2RL1/KDR/VEGFA/CNTN1,F2RL1,NA,1,1/374,0.0167747462928842,1
regulation of toll-like receptor 2 signaling pathway (GO:0034135),LYN/TLR1/TNFAIP3/F2RL1/TIRAP/ACOD1/CYBA/TLR6,F2RL1,NA,1,1/374,0.0167747462928842,1
regulation of centriole replication (GO:0046599),PLK4/NPM1/STIL/PLK2/SPICE1/BRCA1/KAT2B/KAT2A/CENPJ/NUP62/CDK5RAP2/TRIM37/CEP76/RBM14/MDM1,NUP62/CDK5RAP2,NA,2,2/374,0.00615644152085002,1
protein localization to cell periphery (GO:1990778),PPIL2/DENND4C/ACTN2/ATP1B3/ATP1B1/RAB34/ABCA12/RAB37/PKP3/PKP2/MYADM/TNIK/STXBP1/RAMP3/ROCK1/ROCK2/LRP6/TNF/NKD2/TSPAN33/GOLGA7B/RAB40A/RAB40B/RAB40C/BSG/CDH1/FLNA/RAB29/S100A10/CLASP2/MYO5A/ANK3/ANK1/ANK2/SLC9A3R1/CACNB2/EHD2/CACNB3/DLG1/EHD3/WNK3/FGF13/EZR/RAB40AL/MRAP2/DPP10/LIN7B/F11R/LIN7A/LIN7C/CALCR/TMEM88/EPB41L3/TSPAN5/PIP5K1A/FLOT2/INPP5K/FLOT1/TMEM150A/BBS2/KCNB1/RDX/KCNB2/KCNIP3/CAV3/JUP/KCNIP4/SMURF1/TESC/CAV1/PTCH1/EMP2/RAP2A/TNFRSF1A/FAM126A/MRAP/RAPGEF2/RAPGEF6/GAS6/SPTBN4/PLEKHF1/DPP6/FCHO2/PDZD11/P2RY1/MAP7/TMED2/SCN3B/SPTBN1/PACSIN1/WNT4/ADIPOQ/PACS1/TTC7A/TTC7B/RAB11A/GAK/TSPAN15/RAB10/TSPAN14/RAB15/PACS2/RAB13/SLMAP/RAMP1/RAMP2/CRB3/ZDHHC22/ZDHHC23/PIGW/AP4M1/IKBKB/EFR3B/ZFYVE27/EFR3A/RAB8A/RAB8B,ATP1B1/PKP2/SLC9A3R1/RDX/PDZD11/RAB10/RAB8A,NA,7,7/374,0.0108629462710849,1
regulation of reactive oxygen species metabolic process (GO:2000377),PDGFRB/SIRT5/MT3/ACOD1/SIRT2/AGT/TGFBR2/RNF41/MAPK14/PAX2/BST1/PINK1/SELENOS/AGTR1/SLC25A33/TP53/TFAP2A/ARF4/PRKN/NOXO1/UCP1/BRCA1/AATF/PARL/ROMO1/CYP1B1/RIPK1/SNCA/GADD45A/AKR1C3/F2/ACE2/EIF6/STK17A/NOXA1/PLIN5/GRB2/PID1/CDKN1A/PDGFB/THBS1/FOXM1/ZC3H12A/MPV17/RAC1/XDH/RAC2/BCO2/PDK3,SIRT5/RNF41/SELENOS/AATF/RIPK1/ACE2,NA,6,6/374,0.000243062211413242,1
glycoprotein catabolic process (GO:0006516),MGEA5/NEU4/MANBA/EDEM1/EDEM2/NGLY1/FBXO2/STT3B/ADAMTS9/ADAMTS12,NGLY1,NA,1,1/374,0.026057258962688,1
L-ascorbic acid metabolic process (GO:0019852),CYB5R3/GSTO2/GSTO1/SLC2A1/SLC23A1/SLC2A3/RGN/AKR1A1/CYB5A,CYB5R3,NA,1,1/374,0.0212031977277593,1
vesicle-mediated transport between endosomal compartments (GO:0098927),BECN1/ANKRD27/AKTIP/STX8/EMP2/LMTK2/PTPN23/SNF8/WASH3P/EEA1/FAM160A2/MYO1D/KIF16B/HOOK3/HOOK2/HOOK1/WDR91/WDR81/SNX16/PIK3C3/RILP/RAB5A/RAB7A,HOOK1/RAB7A,NA,2,2/374,0.0205844719498634,1
regulation of mitotic spindle organization (GO:0060236),PLK1/BORA/PARP3/SMC1A/CCSAP/TPX2/PSRC1/STAG2/CHMP2B/HSPA1A/CHMP4C/CHMP2A/CHMP4B/TACC3/CHMP5/DYNC1H1/HSPA1B/GPSM2/VPS4B/NUMA1/HNRNPU/CLTC/DCTN1/GNAI1/SMC3/TPR/PMEPA1/NUP62/CHMP1B/CHMP1A/FSD1/ANKRD53/CEP97/RAE1/MAP9,CHMP2A/NUP62/RAE1,NA,3,3/374,0.0121518017558842,1
intermediate filament bundle assembly (GO:0045110),KRT14/NEFL/NEFM/PKP2/NEFH/PKP1,PKP2,NA,1,1/374,0.00929900216569043,1
"alternative mRNA splicing, via spliceosome (GO:0000380)",RBM17/DDX5/DDX17/DHX9/SRSF1/CELF4/PQBP1/HNRNPM/SFPQ/CDK13/SRSF6/SLU7,SLU7,NA,1,1/374,0.0369440363050621,1
TORC1 signaling (GO:0038202),LARP1/CARD11/RPTOR/AKT1S1/NPRL3/MLST8/CLEC16A/MTOR,LARP1,NA,1,1/374,0.0167747462928842,1
"regulation of gene expression, epigenetic (GO:0040029)",CTCFL/GPX1/TFAP2C/H3F3A/DNMT3A/DNMT3B/DEK/CD3EAP/SLC50A1/SMARCA5/HIST1H4A/KAT2B/KAT2A/MTF2/PHF19/KDM1B/WBP2/AEBP2/CTCF/BMI1/ACTB/MTA1/ZNRD1/TAF1C/TAF1D/IFI16/TWISTNB/TAF1A/RBBP4/TAF1B/RBBP7/JARID2/SF3B1/PRMT7/TBP/SUZ12/EED/GLMN/H2AFY/BAZ1B/IGF2/HIST2H3A/MYO1C/MYBBP1A/PPM1D/POLR1A/POLR1B/POLR1C/POLR1E/ERCC6/H2AFY2/DNMT1/ZNF335/EZH2/HDAC5/HDAC6/SPI1/HDAC4/PHF1/DIRAS3/DDX21/CREBZF/ZFP57/DNMT3L/HIST1H3A/EP300/POLR2E/TDG/POLR2F/EPC1/TRIM27/POLR2H/POLR2K/POLR2L,GPX1/SUZ12/DNMT1/DDX21,NA,4,4/374,0.0421868594684096,1
positive regulation of phagocytosis (GO:0050766),TUB/CAMK1D/AHSG/ABCA7/SLC11A1/NCKAP1L/SFTPD/RAB27A/AZU1/CYBA/MERTK/ANO6/IL1B/FCGR2B/SPACA3/F2RL1/SFTPA1/SFTPA2/CALR/GAS6/DOCK2/SIRPG/TNF/TULP1/GATA2/C4A/C2/C3/SIRPB1/PYCARD/LMAN2/C4B/SIRPA/STAP1/MYO18A/CCL2/CD300LF/FCER1G/LYAR,ANO6/F2RL1/LMAN2,NA,3,3/374,0.0176182025226478,1
regulation of cellular response to oxidative stress (GO:1900407),PRKN/PINK1/GCH1/BMP7/DHFR/FBLN5,FBLN5,NA,1,1/374,0.00929900216569043,1
regulation of osteoblast differentiation (GO:0045667),ACVR1/ZHX3/NPNT/CTNNBIP1/SEMA4D/AXIN2/PTCH1/SOX11/BMP7/ACVR2B/ACVR2A/BMP6/GDF10/RUNX2/SKI/BMP4/BMP2/IL6/CDK6/IL6ST/BMPR1A/BMPR1B/DDR2/BMPR2/CITED1/IFITM1/LRP5/LIMD1/CYR61/TNN/NOCT/WNT4/FGF23/MEF2C/NOG/ATP6AP1/HGF/WNT7B/TMEM64/IGF1/SUCO/PTK2/NELL1/GREM1/RIOX1/NBR1/TMEM119/SMOC1/PRKD1/SNAI2/LTF/FGFR2/FBN2/HEMGN/NOTCH1/DDX5/TWIST2/CHRD/TWIST1/RORB/ATRAID/HDAC7/RANBP3L/SUFU/IL6R/TRPM4/MEN1/PRKACA/TP63,ATP6AP1/SMOC1/FBN2/PRKACA,NA,4,4/374,0.0326100985657161,1
viral life cycle (GO:0019058),IST1/NUP214/DEK/NUP210/NUP93/PPIA/NUP98/AXL/CD209/TBC1D20/CHMP4C/CHMP4B/CHMP4A/CLEC4M/PPID/RAN/VPS28/RAB1A/NUP205/RAB1B/USP6NL/CD81/NUP160/NUP85/KPNA7/MVB12B/MVB12A/KPNA5/NUP88/RAE1/KPNA3/KPNA4/KPNA1/KPNA2/VTA1/VPS37D/NUP153/VPS37B/NUP155/VPS37C/PDCD6IP/VPS37A/ACE2/VAMP8/NMT2/CHMP2B/CHMP3/CHMP2A/CHMP7/CHMP5/CHMP6/TSG101/POM121/VCP/CTBP2/CTBP1/NEDD4L/UBP1/HTATSF1/AAAS/RAB43/TPR/UBC/UBB/POM121C/NUP62/APOE/GPR15/NDC1/NPC1/NUP133/NUP50/NUP54/ZNF639/UBAP1/NUP58/GAS6/RAB7A/SEH1L/VPS4A/VPS4B/PCSK5/GRK2/NUP43/EPS15/RPS27A/RANBP2/WWP1/WWP2/NFIA/ITCH/KPNB1/NUP35/NECTIN1/UBA52/NUPL2/NUP37/NUP107/HSP90AB1/FURIN/ITGB3/CXCR6/NUP188/XPO1/HYAL2/CCL2/ITGAV,NUP214/NUP210/PPIA/NUP98/CD209/RAB1A/NUP88/RAE1/ACE2/CHMP2A/UBC/NUP62/NUP54/NUP58/RAB7A,NA,15,15/374,1.43453901743536e-08,7.32045260597264e-05
glycosphingolipid catabolic process (GO:0046479),NEU3/NEU4/NEU1/NEU2/NAGA/GLA/GBA3,NEU1/GLA,NA,2,2/374,0.000552204028856011,1
water-soluble vitamin metabolic process (GO:0006767),CD320/SLC52A3/SLC52A1/SLC52A2/CYB5A/PC/MTHFD2/PCCB/PCCA/MTHFD2L/MTHFD1/SLC25A32/MMACHC/ABCC1/CTRC/ALDH1L2/PRSS1/ALDH1L1/PDXK/PANK2/SLC46A1/SHMT2/SHMT1/SLC23A1/MTR/ACACB/SLC5A6/ACACA/THTPA/HLCS/PDZD11/MTHFD1L/RFK/AOX1/ACP5/PNPO/PRSS3/AASDHPPT/CUBN/GIF/MMAB/GSTO2/MCCC1/TPK1/GSTO1/MCCC2/CTRB2/MTHFR/MTHFS/MUT/DHFR/BTD/LMBRD1/VNN1/SLC25A19/VNN2/VNN3/TCN2/FASN/TCN1/CTRB1/MMADHC/FOLR2/MTRR/ABCD4/SLC2A1/SLC2A3/OVCA2/CYB5R3/FPGS/ENPP1/FLAD1/MMAA/ABCD1/SLC19A1/SLC19A2/SLC19A3,ABCC1/THTPA/PDZD11/CYB5R3,NA,4,4/374,0.0486658761861244,1
negative regulation of BMP signaling pathway (GO:0030514),SKOR1/SKOR2/NOG/SMURF2/SMURF1/VWC2/GDF3/HIPK2/SMAD7/SMAD6/LEMD3/LEMD2/SKI/GREM1/SPART/NBL1/TRIM33/DAND5/FBN1/DLX1/NOTCH1/LRP2/HTRA3/CHRD/FSTL3/C3CER1/BMPER/SOSTDC1/SOST/WNT1/SKIL/RBPMS2,SPART/FBN1,NA,2,2/374,0.0486904778262524,1
exit from mitosis (GO:0010458),UBE2C/CTDP1/SIRT7/EPS8/SPAST/UBE2S/PPP2R2D/CLASP1/CHMP2A/CHMP4B/CHMP7/CLASP2,CHMP2A,NA,1,1/374,0.0369440363050621,1
positive regulation of mitotic cell cycle phase transition (GO:1901992),BRD4/UBE2C/RDX/UBE2E2/NSMCE2/CDC7/RAB11A/PHOX2B/RAD51C/RAD51B/ESPL1/CDK4/EIF4G1/ANAPC5/CDK1/DTL/PLCB1/RB1/KMT2E/PHB2/DDX3X/ANKRD17/CDCA5/VPS4B/CUL3/DBF4B/AIF1/ANAPC11/LSM11/LSM10/MECP2/RPTOR/CDC45/CCNB1/CCND2/HYAL1/CCND1/RCC2/STOX1/DLGAP5,BRD4/RDX/CDK1,NA,3,3/374,0.0191882555528825,1
positive regulation of protein transport (GO:0051222),TGFB1/TGFB3/TGFB2/UNC13B/ACSL3/ATP13A2/B3GAT3/GOLPH3L/SYTL4/BMP6/IL1A/PPIA/RUFY3/ARHGEF5/ADAM9/ADAM8/KIF20B/EXOC1/PPID/VPS28/ACHE/TENM1/RIPOR1/TNF/OAZ1/OAZ2/PDCD10/CNST/CHORDC1/ANKRD1/RAB29/EXPH5/CEP290/MYH10/PCNT/FGA/BCAS3/FGB/FGG/MBD1/PLK3/CEP131/IGF1/GOLPH3/VAMP2/ANG/EZR/MYOM1/PLA2G1B/ICE1/PRR5L/TTN/TPR/MYO18A/RACK1/DNM1L,ACSL3/PPIA/ADAM9/PCNT,NA,4,4/374,0.0144972929259746,1
positive regulation of actin filament depolymerization (GO:0030836),CARMIL1/CARMIL2/SEMA5A/WDR1/PLEK/ACTN2/CFL2/F2RL1/WASHC2C/PDXP/VIL1,F2RL1,NA,1,1/374,0.0313121388414287,1
"nucleotide-excision repair, DNA damage recognition (GO:0000715)",CETN2/PARP1/GPS1/XPA/COPS7B/RAD23B/COPS7A/XPC/RBX1/COPS5/DDB2/CUL4B/COPS4/CUL4A/DDB1/COPS6/UBC/UBB/COPS3/COPS2/UBA52/COPS8/RPS27A,RBX1/UBC,NA,2,2/374,0.0205844719498634,1
protein modification by small protein conjugation (GO:0032446),BTBD18/NUP214/ATG10/KIAA1586/NUP210/CHFR/RNF103/NUP93/NUP98/ASB9/ASB5/RNF220/ASB1/RNF222/ASB2/NUP205/HECW1/IPP/RNF7/BACH1/BACH2/RNF6/RNF4/FBXL21/MTA1/NUP85/NUP88/RNF111/ATG3/PLK1/WDR61/HECW2/RAD18/POM121/ANAPC16/BCL10/CDCA8/NEDD4L/PRKDC/HIF1A/ANAPC11/AAAS/RNF213/NUB1/RNF212/POM121C/NUP62/BARD1/CDK5RAP3/HACE1/BRAP/SHPRH/USP9X/NDC1/SIRT1/INCENP/ZNF598/HIF3A/RNF152/RPS27A/WWP1/WWP2/SYVN1/DDB1/RFWD3/RLIM/UBE2V2/ZNF451/IFIH1/RNF135/RNF138/RNF139/ELOB/ELOC/RACK1/FBXW5/RNF43/MYLIP/RNF44/FBXW7/AREL1/USP7/FBXW8/CRBN/USP5/FBXO18/MUL1/MITF/FBXO11/RNF40/RBX1/FBXO10/PINK1/CNOT4/RNF182/RNF34/UBE2D3/RNF38/UBE2D4/UBE2D1/UBE2D2/RCHY1/LEO1/PIAS4/PIAS1/PIAS3/FBXO32/PIAS2/RNF168/TRAF7/BIRC5/BIRC6/BIRC7/CCDC22/BIRC8/BIRC2/BIRC3/MDM2/CUL9/MOCS3/CUL7/RNF181/CUL3/CUL2/CUL1/FBXO24/FBXO25/TPR/NFATC2IP/ZNF645/KBTBD12/KBTBD11/MSL2/CUL4B/CUL4A/MARCH2/SP3/TOP1/NFE2L2/L3MBTL2/SEH1L/UBR5/UBR3/NLRC4/UBR2/UBR1/CDC73/FBXO45/KBTBD13/NAE1/CCIN/TRIM40/RNF25/RNF26/FBXL15/RNF20/RANGAP1/TSPAN17/CDC34/KCTD10/KCTD13/STUB1/TRIM32/UBA52/TRIM33/CBLL1/RNF11/RNF14/UHRF2/UHRF1/ARRB2/ZNRF1/ZNRF3/HECTD1/HECTD2/HECTD3/SUMO2/SUMO1/ARRB1/HECTD4/SUMO4/SUMO3/FBXO4/FBXO7/TRIM28/FBXO9/TRIM21/TRIM23/TRIM24/DCAF15/FBXO2/PEX10/PEX12/RRAGA/OTULIN/NAIP/EPAS1/KEAP1/CCNF/CBLC/UBE2L3/HERC6/HERC5/HERC4/HERC3/HERC2/BTRC/ARRDC1/BCL11A/ARRDC4/COMMD1/UCHL3/TOPORS/RNF144A/KLHDC8A/KLHDC8B/FBXL2/FBXL3/FBXL5/PAF1/FBXL7/DCUN1D4/DCUN1D5/CTR9/DCUN1D2/DCUN1D3/KLHDC7B/DCUN1D1/UBE2J2/KLHDC7A/TP53BP1/TRPM4/SKP1/UBL4B/UBL4A/KLHL2/KLHL3/KLHL4/UBE2G2/KLHL5/UBE2G1/KLHL1/KBTBD6/KBTBD7/KLHL7/KLHL8/KBTBD2/KLHL9/KBTBD3/UFC1/PDZRN3/KBTBD8/PDZRN4/TOP2B/DET1/MAGEF1/TOP2A/RTF1/BRCA1/NEDD8/NEUROD2/HLTF/RANBP2/UBE2E3/UBE2E1/ITCH/MIB1/MIB2/GAN/XIAP/NEDD4/TRIP12/WAC/NUPL2/NUP188/DERL1/OS9/ENC1/ARIH1/ARIH2/UBE2H/UBE2I/KLHL26/UBE2C/FBXW11/KLHL28/UBE2F/KLHL29/NOSIP/KLHL22/KLHL23/UBE2A/KLHL24/KLHL25/HUWE1/UBE2B/LMO7/KLHL20/TRPC4AP/KLHL21/UBE2W/UBE2Z/UBE2S/UBE2T/SELENOS/UBE2K/UBE2M/UBE2N/PCNA/PRKN/KLHL38/ZFAND4/KLHL33/UBE3A/KLHL34/UBE3B/KLHL35/ASB12/UBE3C/KLHL36/KLHL30/NUP160/KLHL31/KLHL32/AURKB/PCNP/ASB11/TMEM129/RAE1/NUP153/ISG15/NUP155/CCNB1IP1/UBE2R2/UBA3/UBA2/UBA1/SAE1/VCP/KLHL15/KLHL17/KLHL18/KLHL12/UVSSA/KLHL13/KLHL14/KLHL10/VCPIP1/PDZD4/UBC/UBB/UBD/SMURF2/SMURF1/NUP133/PEX2/PJA1/SENP1/SENP2/PJA2/NUP50/PEX5/NUP54/NUP58/UBA7/UBA6/UBA5/TNFAIP1/RNF212B/UBE2Q2/NUP43/ANKUB1/EYA1/KLHL40/KLHL41/KLHL42/HIST1H2BA/UFM1/NUP35/HIST1H2BH/HIST1H2BC/HIST1H2BB/NUP37/HIST1H2BD/HIST1H2BO/HIST1H2BN/NUP107/HIST1H2BK/HIST1H2BJ/HIST1H2BM/HIST1H2BL/CBL/CAND1/SENP5/UFL1/CAND2/VHL/VHLL,NUP214/NUP210/NUP98/NUP88/PRKDC/NUP62/ELOB/ELOC/RBX1/CUL2/HECTD1/MIB1/OS9/SELENOS/RAE1/ISG15/UBC/NUP54/NUP58,NA,19,19/374,0.0035732446916779,1
regulation of viral genome replication (GO:0045069),MX1/EIF2AK2/BTBD17/RSAD2/TNIP1/RAD23A/OAS1/ILF3/TARBP2/NR5A2/BST2/CNOT7/PPIA/OAS2/OAS3/SLPI/CD28/PABPC1/PPIH/PPIE/PPID/FKBP6/CXCL8/IFITM2/DDX3X/STAU1/IFITM3/IFITM1/TOP2A/ZC3HAV1/ADARB1/TNF/ADAR/IFNL3/TRIM6/IFI16/BANF1/APOBEC3F/APOBEC3G/PROX1/ISG15/SRPK1/SRPK2/ISG20/DDB1/FAM111A/PARP10/MAVS/PLSCR1/VAPB/PDE12/PKN2/LTF/APOBEC3A/APOBEC3C/RNASEL/IFIT5/IFIT1/HACD3/OASL/LARP1/CCL5/IFNB1,PPIA/PABPC1/ISG15/LARP1,NA,4,4/374,0.0230779497070187,1
negative regulation of cell size (GO:0045792),RHOA/RDX/CAV3/AKT1S1/PTEN/DEPTOR,RHOA/RDX,NA,2,2/374,0.000321699005697722,1
epithelial cell differentiation (GO:0030855),SPINK5/KRT4/KRT3/PIH1D1/GRHL2/WT1/TOLLIP/GSTA2/GSTA1/RHCG/PCNA/CES1/EHF/TAGLN/DEUP1/ASCL1/SCUBE1/BASP1/AKT1/ZNF703/AKT2/E2F4/E2F7/E2F8/JAG1/GSTK1/FZD7/TDRD7/UPK3A/MAF/LATS1/CDHR2/TAGLN2/TPP1/VIL1/FGFR2/CCNO/UPK2/GATA3/DNPH1/CNN3/LGALS3/MCIDAS/FN3K/CTSB/ANXA4/EDF1/UPK1A/VEGFA/PAX2/CRYGD/BMP4/SULT1B1/ELF3/DAB2/RARB/CDK1/IRF6/RARA/ALDOC/CITED1/MESP1/UPK1B/ERBB4/CASP6/PGK1/PCK2/PCK1/KDM6B/TBX1/SETSIP/CBR1/CPT1A/AKR1C2/AKR1C1/PROX1/ACTL8/DHRS9/RAB10/BDH2/TST/PPARG/HNRNPH3/VDAC1/ACADVL/HDAC1/HDAC2/RARG/LAMA5/SIX1/TCF21/GLI1/PTER/SIX3/DMBT1/ANXA7,AKT1/CTSB/CDK1/RAB10/HDAC2,NA,5,5/374,0.0378374383747625,1
macromolecular complex assembly (GO:0065003),CD74/DNAJB14/MITF/PPP2R1A/PEX14/PML/AFG3L2/ZW10/APC/CAPZA2/FAS/DNAJB12/CAPZA1/TUBGCP4/PPIH/SKAP2/MPHOSPH6/TP53/PPID/YAP1/SF3B3/HFE/IL1RAP/NAPG/TANK/CD2AP/NFS1/SLC9A3R2/PARD6B/HSF1/CAPN3/KNTC1/HES1/PPARGC1A/KPNA3/HES5/REPS2/SH3BGR/CARD10/CREBBP/NFE4/ST13/NCKAP1L/TRAF1/FANCA/PARD3/FANCC/SLC9A3R1/PICALM/CNKSR3/OXA1L/OCLN/DLG4/CSNK2B/GEMIN5/MDM4/MATN1/VAMP2/NDUFAF1/MNAT1/VAMP3/VIL1/MDM2/TUBGCP2/KMT2A/SLC2A1/EPRS/LIN7A/RIMS1/SOX9/KIFAP3/TSPAN4/DARS/AXIN1/APOA4/HMGA1/TAPBP/SHANK1/SLC7A6/SLC7A7/TFAP4/SLC7A9/CLDN14/ANKS4B/DET1/CD40/LAMC1/GPAA1/CD3G/CD3E/LPXN/WASF1/OTX2/TEAD1/MDN1/WASF3/TEAD2/FGA/FGB/DMTN/FGG/PDE4DIP/ELP1/RANBP9/IL2RB/LLGL1/TCAP/APBA1/ST13P5/ST13P4/WIPF1/WAS/WASL/CAPG/ADD2/USH1C/PTK2B/ELOB/DMD/NIFK,SLC9A3R1/CSNK2B/NDUFAF1/TUBGCP2/GPAA1/MDN1/PDE4DIP/ELOB,NA,8,8/374,0.00389420631802768,1
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042),GPX1/FGB/FGG/NOS3/CFLAR/TNFRSF10B/TNFRSF10A/SCRT2/TMBIM1/BMP5/FAS/BCL2L1/ARHGEF2/RNF34/SERPINE1/TRADD/TNFAIP3/PEA15/PARK7/BRCA1/FAIM2/FASLG/TANK/ICAM1/CASP8/HMOX1/FADD/TNFSF10/RIPK1/FGA/RFFL,GPX1/HMOX1/RIPK1,NA,3,3/374,0.00791453651354465,1
synaptic vesicle localization (GO:0097479),TOR1A/SNAPIN/NLGN1/RAB27A/TMEM230/DNM2/KIF5A/CDK5/SYNJ1/KIF5C/KIF5B/SYNDIG1/SPG11,TOR1A,NA,1,1/374,0.0429301060251057,1
regulation of histone phosphorylation (GO:0033127),RPS6KA5/CDK9/IL1B/RPS6KA4/FMR1/AKAP8L/H2AFY/MAPK3/AKAP8/TWIST1,AKAP8L/AKAP8,NA,2,2/374,0.00178695278804473,1
nuclear import (GO:0051170),RANBP17/NUP214/TSC2/NUTF2/NUP133/NPAP1/NUP93/MMP12/NUP50/NUP98/NUP58/SNRPF/SNRPG/SNRPE/SNRPB/POM121L12/RAN/NUP62CL/GEMIN2/GEMIN4/HIKESHI/BACH2/RGPD4/SNRPD3/SNRPD2/NUP85/SNRPD1/HTATIP2/CSE1L/SMN1/NUP88/RAE1/TNPO3/RANBP3/PDIA3/SNUPN/RANBP2/STAT3/RANBP1/NUP153/POM121B/NUP155/KPNB1/MCM3AP/GEMIN5/GEMIN6/GEMIN7/GEMIN8/SPRN/POM121L2/POM121/NXT1/NUP107/NXT2/IPO13/PTTG1IP/PRICKLE1/NUP188/DDX20/IPO7/IPO8/IPO11/RPAIN/RANBP3L/IPO9/TPR/POM121C/NUP62/HEATR3/PPP1R10/HNRNPA1,NUP214/NUTF2/NUP98/NUP58/NUP88/RAE1/NUP62/HEATR3,NA,8,8/374,8.35713122956296e-05,0.426464406644598
response to hydrogen peroxide (GO:0042542),GPX1/PRKCD/ZNF580/PLEKHA1/HBA1/GLRX2/APTX/SIRT1/RHOB/SOD1/MAPK13/PAX2/IMPACT/SETX/IL6/STK24/CAT/STK25/DLC1/STK26/NET1/PPIF/ADAM9/FXN/NFE2L2/FABP1/HDAC6/RELA/HBB/TNFAIP3/PARK7/AQP1/TRPM2/PRDX3/PDCD10/HMOX1/CYP1B1/ABL1/ECT2/RPS3/MAPK7/MAP3K5/ANKZF1,GPX1/ADAM9/HMOX1,NA,3,3/374,0.0244055598110475,1
