Drug1,DB_ID1,Drug2,DB_ID2,Cell.line,ZIP,Bliss,Loewe,HSA,ZIPclassification,blissclassification,loeweclassification,hsaclassification,synthetic,classification
CARBOPLATIN,DB00958,DASATINIB,DB01254,OCUBM,2.05,7.96,6.56,8.7,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OCUBM,-1.09,-2.85,-50.34,-2.84,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OCUBM,-0.55,-1.75,-49.24,-1.75,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OCUBM,-0.94,-1.65,-4.64,-0.35,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OCUBM,-0.9,-1.86,-4.85,-0.55,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,OCUBM,2.85,2.87,2.96,5.97,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,OCUBM,0.82,4.09,4.18,7.19,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,OCUBM,3.76,4.55,4.63,7.65,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,OCUBM,-2.02,-4.68,-10.66,-4.68,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,OCUBM,-2.54,-5.67,-11.65,-5.67,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,OCUBM,-2.42,-4.52,-10.5,-4.52,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,OCUBM,-2.4,-3.66,-9.64,-3.66,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,OCUBM,-5.33,-1.48,-4.65,-1.22,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,OCUBM,5.81,8.08,1.51,8.73,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,OCUBM,2.93,6.71,0.14,7.36,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,OV90,-0.44,-1.43,-3.12,-1.16,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,OV90,-3.05,-1.26,-2.94,-0.98,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,OV90,1.96,2.61,0.58,2.8,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,OV90,3.07,4.22,2.18,4.41,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OV90,-0.59,-1.63,-2.37,-1.5,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OV90,-0.65,-4.12,-4.85,-3.99,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OV90,-0.37,-2.91,-3.65,-2.78,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OV90,-0.55,-1.85,-2.59,-1.73,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,OV90,-8.16,-6.67,-7.14,-4.78,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,OV90,-5.11,-4.08,-4.55,-2.19,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,OV90,-8.24,-6.5,-6.97,-4.61,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,OV90,-13.19,-9.01,-9.48,-7.11,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OV90,-0.12,-2.54,-5.38,-2.28,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OV90,-0.39,-2.19,-5.03,-1.93,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,OV90,-1,-2.12,-5.75,-1.98,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,OV90,9.08,6.07,2.44,6.22,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,OV90,-0.56,-0.4,-4.03,-0.26,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,OV90,-2.84,-3.77,-3.38,-0.57,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,OV90,-5.16,-1.5,-1.87,-1.17,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,OV90,-5.21,-1.81,-2.18,-1.48,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,OV90,-0.35,-1.08,-1.46,-0.75,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,OV90,-3.54,-3.38,-7.39,-3.18,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,OV90,5.28,7.48,11.76,13.03,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,OVCAR3,-2.98,-2.17,-5.19,-1.3,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,OVCAR3,-3.8,-3.15,-6.17,-2.28,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,OVCAR3,0,1.07,5.78,6.87,0,1,1,1,3,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,OVCAR3,0.14,1.07,5.79,6.87,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,OVCAR3,0.03,0.86,5.58,6.66,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,OVCAR3,-0.22,-3.04,-51.84,-4.26,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,OVCAR3,-0.53,-2.51,-8.2,-3.7,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OVCAR3,-5.24,-5.89,-33.03,-3.91,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OVCAR3,-3.51,-4.3,-31.45,-2.32,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,OVCAR3,-2.17,-2.38,-29.52,-0.4,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,OVCAR3,1.64,1,7.16,11.09,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,OVCAR3,3.17,2.48,8.64,12.57,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,OVCAR3,2.49,1.73,7.88,11.81,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,OVCAR3,-0.71,-2.1,-50.41,-2.95,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,OVCAR3,-0.26,-1.65,-12.89,-1.72,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,OVCAR3,-11.99,-13.27,-6.18,-5.24,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,OVCAR3,-9.93,-10.54,-3.45,-2.5,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,OVCAR3,-10.64,-10.04,-2.95,-2.01,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,OVCAR3,-11.03,-11.48,-4.38,-3.44,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,PA1,0.17,0.41,0.08,2.57,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,PA1,-2.19,-3.42,-7.88,-2.51,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,PA1,-1.86,-2.28,-6.74,-1.36,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,PA1,0.03,0.04,3.11,5.21,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,PA1,3.66,3.1,6.17,8.27,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,PA1,5.21,3.99,7.07,9.17,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,PA1,-2.97,-3.03,-20.13,-2.52,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,PA1,-2.78,-0.59,-17.69,-0.08,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,PA1,-2.73,-1.22,-18.33,-0.71,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,PA1,-1.27,-1.81,-4.55,-0.79,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,PA1,-1.32,-2.01,-4.75,-0.99,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,PA1,0.94,0.52,2.65,4.74,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,PA1,0.71,0.53,2.65,4.74,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,PA1,1.28,0.27,2.39,4.48,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,PA1,0.97,0.61,2.73,4.82,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,PA1,-0.3,-0.94,-19.58,-1.96,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,PA1,-2.24,-1.69,-20.33,-2.71,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,PA1,-2.03,-2.79,-21.43,-3.81,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,PA1,-0.86,-2.79,-17.22,-3.07,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,PA1,-0.25,-0.76,-15.18,-1.04,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,PA1,-1.17,-3.15,-17.58,-3.43,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,PA1,-2.89,-4.54,-4.61,-2.54,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,PA1,4.49,1.07,1.01,3.08,1,1,1,1,4,synergy
METHOTREXATE,DB00563,DASATINIB,DB01254,PA1,-1.11,-2.27,-2.34,-0.27,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,PA1,-1.89,-3.28,-3.34,-1.27,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,PA1,-1.62,-4.66,-9.47,-4.79,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,PA1,-0.67,-3.61,-8.42,-3.74,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,PA1,-0.89,-1.23,-6.04,-1.36,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,PA1,0.85,0.93,0.41,1.91,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,PA1,0.85,0.8,0.28,1.78,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,RKO,8.65,9.9,5.46,10.03,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,RKO,-3.13,-1.4,-5.84,-1.27,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,RKO,-4.31,-2.92,-14.53,-3.82,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,RKO,0.44,0.24,4.07,5.09,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,RKO,6.23,7.09,10.91,11.93,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,RKO,5.69,5.66,9.48,10.5,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,RKO,-1.73,-10.26,-64.64,-10.76,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,RKO,-1.83,-9.29,-63.67,-9.79,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,RKO,-1.63,-5.28,-59.66,-5.78,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,RKO,-2.57,-5.45,-59.83,-5.95,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,RKO,-1.3,-4.21,-31.99,-4.61,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,RKO,-1.61,-5.14,-7.24,-3.86,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,RKO,-2.55,-4.99,-7.09,-3.72,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,RKO,-2.39,-4.83,-6.93,-3.55,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,RKO,-2.14,-4.16,-6.26,-2.88,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RKO,-3.46,-7.53,-15.16,-6.37,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RKO,-1.52,-6.37,-14,-5.21,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RKO,-1.89,-7.42,-15.06,-6.26,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,RKO,1.96,3.93,1.47,4.59,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,RKO,-4.11,-5.13,-6.63,-2.42,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,RKO,-4.15,-4.48,-5.98,-1.78,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,RKO,-3.66,-4.52,-6.03,-1.82,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,RPMI7951,-0.69,-1.25,-2.78,-0.1,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,RPMI7951,7.58,8.52,4.67,8.71,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,RPMI7951,7.47,8.56,4.7,8.75,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,RPMI7951,-1.75,-7.75,-22.1,-11.77,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,RPMI7951,-2.04,-8.28,-22.64,-12.31,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,RPMI7951,-0.75,-5.76,-20.12,-9.79,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,DASATINIB,DB01254,RPMI7951,-1,-6.23,-20.59,-10.26,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,RPMI7951,4.34,4.26,0.01,4.9,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,RPMI7951,3.82,4.42,0.17,5.05,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,RPMI7951,-0.31,-1.33,-26.4,-1.74,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,RPMI7951,-0.2,-0.75,-25.82,-1.15,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,RPMI7951,-2.19,-3.57,-13.57,-2.46,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,RPMI7951,-2.1,-3.66,-13.66,-2.55,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,RPMI7951,-1.63,-2.43,-12.43,-1.32,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,RPMI7951,-1.39,-1.92,-11.93,-0.81,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,RPMI7951,-0.68,-3.92,-21.48,-3.49,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RPMI7951,-14.5,-16.69,-5.09,-5.64,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RPMI7951,-14.41,-16.16,-4.56,-5.11,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RPMI7951,-14.08,-15.49,-3.89,-4.44,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,RPMI7951,-14.83,-15.62,-4.03,-4.58,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,RPMI7951,4.22,3.99,0.12,4.2,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SKMEL30,7.21,11.34,2.03,8.62,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SKMEL30,4.81,10.91,1.61,8.2,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,SKMEL30,13.14,19.98,2.71,5.06,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,SKMEL30,3.09,4.41,0.18,4.31,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,SKMEL30,3.6,4.87,0.64,4.77,1,1,1,1,4,synergy
METFORMIN,DB00331,DASATINIB,DB01254,SKMEL30,15.29,18.22,1.6,1.6,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,SKMES1,1.71,2,2.13,5.78,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SKMES1,-1.57,-2.13,-4.53,-0.17,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SKMES1,-2.11,-2.36,-4.75,-0.4,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,SKMES1,0.98,0.62,2,4.9,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,SKMES1,-1.74,-5.07,-22.1,-3.13,-1,-1,-1,-1,-4,antagonism
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,SKMES1,-1.57,-3.91,-20.95,-1.97,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,BORTEZOMIB,DB00188,SKMES1,1.41,1.72,0.49,5,1,1,1,1,4,synergy
ETOPOSIDE,DB00773,DASATINIB,DB01254,SKMES1,-7.89,-7.9,-3.38,-0.57,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,SKMES1,-1.61,-3.35,-20.91,-1.94,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,SKMES1,-5.51,-9.54,-41.85,-6.75,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,SKMES1,-7.19,-8.26,-40.56,-5.46,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,SKMES1,-3.19,-7.05,-6.84,-3.19,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SKMES1,-10.55,-12.7,-8.12,-3.08,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SKMES1,-9.58,-12.59,-8.01,-2.96,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SKMES1,-9.43,-11.93,-7.35,-2.31,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SKMES1,-9.66,-12.27,-7.69,-2.65,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,SKMES1,-1.41,-3.19,-5.31,-0.9,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,SKMES1,-1.07,-3.56,-5.68,-1.26,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,SKMES1,-3.3,-5.65,-6.5,-0.82,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,SKMES1,-6.17,-7.14,-7.99,-2.31,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,SK-OV-3,-4.39,-5.65,-2.79,-0.36,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,SK-OV-3,-5.4,-7.55,-4.69,-2.26,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,SK-OV-3,-4.94,-6.77,-3.91,-1.48,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SK-OV-3,-1.91,-1.47,-6.46,-0.17,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,SK-OV-3,-4.18,-5.82,-4.52,-1.85,-1,-1,-1,-1,-4,antagonism
CARBOPLATIN,DB00958,DASATINIB,DB01254,SK-OV-3,0.97,0.38,1.67,4.35,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,BORTEZOMIB,DB00188,SK-OV-3,-2.03,-3.45,-11.82,-1.04,-1,-1,-1,-1,-4,antagonism
ETOPOSIDE,DB00773,DASATINIB,DB01254,SK-OV-3,-4.78,-11.17,-8.78,-6.49,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,SK-OV-3,-1.46,-5.73,-38.63,-4.41,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,BORTEZOMIB,DB00188,SK-OV-3,-2.08,-6.23,-39.13,-4.92,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,SK-OV-3,-1.79,-2.47,-16.51,-1.1,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,SK-OV-3,-1.49,-2.82,-16.85,-1.44,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,SK-OV-3,-2.6,-4.12,-18.15,-2.74,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,SK-OV-3,-0.09,-2.19,-33.19,-1.25,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SK-OV-3,-0.46,-1.29,-5.33,-0.35,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SK-OV-3,-1.34,-3.46,-7.51,-2.52,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SK-OV-3,-0.23,-1.37,-5.42,-0.43,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,SK-OV-3,-6.78,-2.54,-5.44,-0.4,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,SK-OV-3,4.13,4.63,1.73,6.77,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,SK-OV-3,1.29,0.66,5.11,6.03,1,1,1,1,4,synergy
VINBLASTINE,DB00570,DASATINIB,DB01254,SK-OV-3,1.14,0.36,4.81,5.73,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SW-620,2.9,4.55,1.3,5.29,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SW-620,2.34,3.96,0.71,4.7,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,DASATINIB,DB01254,SW-620,2.48,2.01,5.46,5.93,1,1,1,1,4,synergy
DEXAMETHASONE,DB01234,DASATINIB,DB01254,SW-620,0.75,4.05,2.39,2.39,1,1,1,1,4,synergy
METFORMIN,DB00331,BORTEZOMIB,DB00188,SW-620,-0.23,-1.27,-53.8,-1.57,-1,-1,-1,-1,-4,antagonism
METFORMIN,DB00331,DASATINIB,DB01254,SW-620,2.06,3.39,2.87,2.87,1,1,1,1,4,synergy
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,SW-620,-0.93,-2.66,-5.28,-1.65,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,SW-620,-0.11,-2.15,-4.77,-1.14,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,BORTEZOMIB,DB00188,SW-620,-0.3,-2.13,-4.76,-1.12,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SW-620,-2.16,-4.5,-24.58,-2.28,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SW-620,-0.69,-2.71,-22.79,-0.49,-1,-1,-1,-1,-4,antagonism
METHOTREXATE,DB00563,DASATINIB,DB01254,SW-620,-0.87,-3.42,-23.5,-1.2,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,BORTEZOMIB,DB00188,SW-620,-0.12,-1.83,-3.64,-0.68,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,SW-620,-4.3,-6.74,-26.84,-2.34,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,SW-620,-4.52,-8.63,-28.73,-4.23,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,SW-620,-3.82,-6.87,-26.97,-2.47,-1,-1,-1,-1,-4,antagonism
VINBLASTINE,DB00570,DASATINIB,DB01254,SW-620,-0.74,-6,-26.09,-1.59,-1,-1,-1,-1,-4,antagonism
BORTEZOMIB,DB00188,DASATINIB,DB01254,SW837,6.29,5.22,11.78,12.67,1,1,1,1,4,synergy
BORTEZOMIB,DB00188,DASATINIB,DB01254,SW837,2.12,1.04,7.6,8.49,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SW837,3.95,2.2,2.4,2.47,1,1,1,1,4,synergy
CARBOPLATIN,DB00958,BORTEZOMIB,DB00188,SW837,7.23,5.77,5.98,6.04,1,1,1,1,4,synergy
